=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2024-11-3_1-3-15
====================================================================================
1:3:15 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
1:3:15 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
1:3:15 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
1:3:15 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
1:3:15 | [PermissionManager] Perm (MenuBansManager) has been registered!
1:3:15 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
1:3:15 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
1:3:15 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
1:3:15 | [PermissionManager] Perm (MenuWebHooks) has been registered!
1:3:15 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
1:3:15 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
1:3:15 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
1:3:15 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
1:3:15 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
1:3:15 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
1:3:15 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
1:3:15 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
1:3:15 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
1:3:15 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
1:3:15 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
1:3:15 | [PermissionManager] Perm (EspToolsMenu) has been registered!
1:3:15 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
1:3:15 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
1:3:15 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
1:3:15 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
1:3:15 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
1:3:15 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
1:3:15 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
1:3:15 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
1:3:15 | [PermissionManager] Adding Super Admin (76561198017124053)
1:3:15 | [PermissionManager] Adding Super Admin (76561197998690788)
1:3:15 | [PermissionManager] Adding Super Admin (76561199051296936)
1:3:15 | [PermissionManager] Loaded UserGroups.json
1:3:15 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
1:3:15 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
1:3:15 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
1:3:15 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
1:3:15 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
1:3:15 | Building Sets Loaded: 0
1:3:15 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
1:3:15 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
1:4:34 | Player "FlaMeZEUW" (steamId=76561199051296936) connected to server!
1:4:53 | "76561199051296936" (steamid=76561199051296936) teleported to (pos=<5329.419922, -59.362701, 8.822940>)
1:4:53 | "FlaMeZEUW": (steamid=76561199051296936) teleported to (pos=5329.42,0,8.82294)
1:4:56 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
1:4:57 | "FlaMeZEUW" (steamid=76561199051296936) toggled godmode
1:4:59 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
1:5:5 | "76561199051296936" (steamid=76561199051296936) teleported to (pos=<5491.529785, 4.614229, 4296.899902>)
1:5:5 | "FlaMeZEUW": (steamid=76561199051296936) teleported to (pos=5491.53,0,4296.9)
1:5:7 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
1:5:14 | "FlaMeZEUW" (steamid=76561199051296936) teleported to crosshair (pos=<5556.627441, 4.179216, 4276.912598>)
1:5:15 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
1:5:34 | Player "D890" (steamId=76561198017124053) connected to server!
1:6:9 | Player "D890" (steamId=76561198017124053) initiated disconnect process...
1:6:9 | Player "FlaMeZEUW" (steamId=76561199051296936) initiated disconnect process...
