=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2024-11-3_0-25-1
====================================================================================
0:25:1 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
0:25:1 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
0:25:1 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
0:25:1 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
0:25:1 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
0:25:1 | [PermissionManager] Perm (MenuBansManager) has been registered!
0:25:1 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
0:25:1 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
0:25:1 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
0:25:1 | [PermissionManager] Perm (MenuWebHooks) has been registered!
0:25:1 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
0:25:1 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
0:25:1 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
0:25:1 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
0:25:1 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
0:25:1 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
0:25:1 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
0:25:1 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
0:25:1 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
0:25:1 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
0:25:1 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
0:25:1 | [PermissionManager] Perm (EspToolsMenu) has been registered!
0:25:1 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
0:25:1 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
0:25:1 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
0:25:1 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
0:25:1 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
0:25:1 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
0:25:1 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
0:25:1 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
0:25:1 | [PermissionManager] Adding Super Admin (76561198017124053)
0:25:1 | [PermissionManager] Adding Super Admin (76561197998690788)
0:25:1 | [PermissionManager] Adding Super Admin (76561199051296936)
0:25:1 | [PermissionManager] Loaded UserGroups.json
0:25:1 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
0:25:1 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
0:25:1 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
0:25:1 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
0:25:1 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
0:25:1 | Building Sets Loaded: 0
0:25:1 | [SteamAPIManager] WARNING couldn't fetch server IP from configs; using cURL...
0:25:1 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
0:25:37 | Player "D890" (steamId=76561198017124053) connected to server!
0:25:45 | Player "FlaMeZEUW" (steamId=76561199051296936) connected to server!
0:26:25 | "76561199051296936" (steamid=76561199051296936) teleported to (pos=<9537.700195, 2.565395, 13501.299805>)
0:26:25 | "FlaMeZEUW": (steamid=76561199051296936) teleported to (pos=9537.7,0,13501.3)
0:26:31 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
0:26:45 | "FlaMeZEUW" (steamid=76561199051296936) teleported to crosshair (pos=<9399.423828, 2.309998, 13621.661133>)
0:28:14 | "D890" (steamid=76561198017124053) Spawned Item: (Flaregun)
0:28:16 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
0:28:20 | "76561199051296936" (steamid=76561199051296936) teleported to (pos=<8429.490234, 8.825837, 13682.000000>)
0:28:20 | "FlaMeZEUW": (steamid=76561199051296936) teleported to (pos=8429.49,0,13682)
0:28:22 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
0:28:39 | "FlaMeZEUW" (steamid=76561199051296936) teleported to crosshair (pos=<7940.951660, 4.721538, 13535.827148>)
0:28:41 | "D890" (steamid=76561198017124053) Spawned Item: (Flaregun)
0:28:41 | "D890" (steamid=76561198017124053) Spawned Item: (Flaregun)
0:28:41 | "D890" (steamid=76561198017124053) Spawned Item: (Flaregun)
0:28:41 | "D890" (steamid=76561198017124053) Spawned Item: (Flaregun)
0:28:45 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
0:28:53 | "76561199051296936" (steamid=76561199051296936) teleported to (pos=<8371.700195, 30.790001, 10309.500000>)
0:28:53 | "FlaMeZEUW": (steamid=76561199051296936) teleported to (pos=8371.7,0,10309.5)
0:28:55 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
0:28:56 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
0:28:58 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
0:29:4 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
0:29:8 | "76561199051296936" (steamid=76561199051296936) teleported to (pos=<7154.439941, 2.660000, 7364.770020>)
0:29:8 | "FlaMeZEUW": (steamid=76561199051296936) teleported to (pos=7154.44,0,7364.77)
0:29:9 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
0:29:15 | "FlaMeZEUW" (steamid=76561199051296936) teleported to crosshair (pos=<6926.012695, 2.460007, 7246.897949>)
0:29:28 | "FlaMeZEUW" (steamid=76561199051296936) toggled freecam
0:29:37 | Player "FlaMeZEUW" (steamId=76561199051296936) initiated disconnect process...
0:29:39 | Player "FlaMeZEUW" (steamId=76561199051296936) disconnected early from server (EXIT NOW).
0:30:6 | Player "D890" (steamId=76561198017124053) initiated disconnect process...
0:30:7 | Player "D890" (steamId=76561198017124053) disconnected from server.
